ID,Class,Lable,Name,Status_1,Status_2
404,device,Mb_displacement_actuator,Mb_displacement_actuator_22_1,step_length,
405,device,Mb_displacement_actuator,Mb_displacement_actuator_22_2,step_length,
406,device,Mb_displacement_actuator,Mb_displacement_actuator_22_3,step_length,
407,device,Mb_displacement_actuator,Mb_displacement_actuator_23_1,step_length,
408,device,Mb_displacement_actuator,Mb_displacement_actuator_23_2,step_length,
409,device,Mb_displacement_actuator,Mb_displacement_actuator_23_3,step_length,
410,device,Mb_displacement_actuator,Mb_displacement_actuator_24_1,step_length,
411,device,Mb_displacement_actuator,Mb_displacement_actuator_24_2,step_length,
412,device,Mb_displacement_actuator,Mb_displacement_actuator_24_3,step_length,
413,device,Mb_displacement_actuator,Mb_displacement_actuator_25_1,step_length,
414,device,Mb_displacement_actuator,Mb_displacement_actuator_25_2,step_length,
415,device,Mb_displacement_actuator,Mb_displacement_actuator_25_3,step_length,
416,device,Mb_displacement_actuator,Mb_displacement_actuator_26_1,step_length,
417,device,Mb_displacement_actuator,Mb_displacement_actuator_26_2,step_length,
418,device,Mb_displacement_actuator,Mb_displacement_actuator_26_3,step_length,
419,device,Mb_displacement_actuator,Mb_displacement_actuator_27_1,step_length,
420,device,Mb_displacement_actuator,Mb_displacement_actuator_27_2,step_length,
421,device,Mb_displacement_actuator,Mb_displacement_actuator_27_3,step_length,
422,device,Mb_displacement_actuator,Mb_displacement_actuator_28_1,step_length,
423,device,Mb_displacement_actuator,Mb_displacement_actuator_28_2,step_length,
424,device,Mb_displacement_actuator,Mb_displacement_actuator_28_3,step_length,
425,device,Mb_displacement_actuator,Mb_displacement_actuator_29_1,step_length,
426,device,Mb_displacement_actuator,Mb_displacement_actuator_29_2,step_length,
427,device,Mb_displacement_actuator,Mb_displacement_actuator_29_3,step_length,
428,device,Mb_displacement_actuator,Mb_displacement_actuator_30_1,step_length,
429,device,Mb_displacement_actuator,Mb_displacement_actuator_30_2,step_length,
430,device,Mb_displacement_actuator,Mb_displacement_actuator_30_3,step_length,
431,device,Mb_displacement_actuator,Mb_displacement_actuator_31_1,step_length,
432,device,Mb_displacement_actuator,Mb_displacement_actuator_31_2,step_length,
433,device,Mb_displacement_actuator,Mb_displacement_actuator_31_3,step_length,
434,device,Mb_displacement_actuator,Mb_displacement_actuator_32_1,step_length,
435,device,Mb_displacement_actuator,Mb_displacement_actuator_32_2,step_length,
436,device,Mb_displacement_actuator,Mb_displacement_actuator_32_3,step_length,
437,device,Mb_displacement_actuator,Mb_displacement_actuator_33_1,step_length,
438,device,Mb_displacement_actuator,Mb_displacement_actuator_33_2,step_length,
439,device,Mb_displacement_actuator,Mb_displacement_actuator_33_3,step_length,
440,device,Mb_displacement_actuator,Mb_displacement_actuator_34_1,step_length,
441,device,Mb_displacement_actuator,Mb_displacement_actuator_34_2,step_length,
442,device,Mb_displacement_actuator,Mb_displacement_actuator_34_3,step_length,
443,device,Mb_displacement_actuator,Mb_displacement_actuator_35_1,step_length,
444,device,Mb_displacement_actuator,Mb_displacement_actuator_35_2,step_length,
445,device,Mb_displacement_actuator,Mb_displacement_actuator_35_3,step_length,
